J2000_NAME,B1950_NAME,PC_J2000,PC_B1950,RA_J2000,DEC_J2000,POS_REF,ALT_NAME,BAND,A,B,C,D,FLUX_JY,UVMIN_kL,UVMAX_kL
0357+233,0354+231,A,A,03h57m21.609873s,"23d19'53.826090""",Aug01,None,0.7cm,Q,W,W,W,0.20,None,None
0359+600,0354+599,A,A,03h59m02.639962s,"60d05'22.068550""",Aug01,None,2cm,U,S,S,S,0.6,None,None
0359+600,0354+599,A,A,03h59m02.639962s,"60d05'22.068550""",Aug01,None,0.7cm,Q,W,W,W,0.7,None,None
0359+509,0355+508,B,B,03h59m29.747262s,"50d57'50.161510""",Aug01,None,20cm,L,X,S,P,5.30,15,None
0359+509,0355+508,B,B,03h59m29.747262s,"50d57'50.161510""",Aug01,None,6cm,C,S,P,P,10.10,None,None
0359+509,0355+508,B,B,03h59m29.747262s,"50d57'50.161510""",Aug01,None,3.7cm,X,S,S,S,5.10,None,None
0359+509,0355+508,B,B,03h59m29.747262s,"50d57'50.161510""",Aug01,None,2cm,U,S,S,S,10.50,None,None
0359+509,0355+508,B,B,03h59m29.747262s,"50d57'50.161510""",Aug01,None,0.7cm,Q,S,S,S,5.50,None,None
0359+323,0356+322,A,A,03h59m44.912900s,"32d20'47.155500""",Aug01,None,2cm,U,P,P,P,1.1,None,None
0359+323,0356+322,A,A,03h59m44.912900s,"32d20'47.155500""",Aug01,None,0.7cm,Q,S,S,S,0.8,None,None
0400+058,0357+057,A,A,04h00m11.735376s,"05d50'43.122920""",Aug01,None,0.7cm,Q,W,W,W,0.24,None,None
0401+042,0358+040,B,B,04h01m19.912896s,"04d13'34.408610""",Aug01,None,0.7cm,Q,W,W,W,0.63,None,None
0401+211,0358+210,B,B,04h01m45.1643s,"21d10'28.610""",Dec01,JVAS,0.7cm,Q,W,W,W,0.18,None,None
0402-317,0400-319,A,A,04h02m21.266027s,"-31d47'25.945580""",Aug01,None,20cm,L,P,P,S,0.70,6,None
0402-317,0400-319,A,A,04h02m21.266027s,"-31d47'25.945580""",Aug01,None,6cm,C,P,P,S,0.82,None,None
0402-317,0400-319,A,A,04h02m21.266027s,"-31d47'25.945580""",Aug01,None,3.7cm,X,P,P,P,0.65,None,None
0402-317,0400-319,A,A,04h02m21.266027s,"-31d47'25.945580""",Aug01,None,2cm,U,S,S,S,0.40,None,None
0402-317,0400-319,A,A,04h02m21.266027s,"-31d47'25.945580""",Aug01,None,0.7cm,Q,W,W,W,0.53,None,None
0403+260,0400+258,A,A,04h03m05.586048s,"26d00'01.502740""",Aug01,None,20cm,L,P,P,P,1.70,None,None
0403+260,0400+258,A,A,04h03m05.586048s,"26d00'01.502740""",Aug01,None,6cm,C,P,P,P,1.27,None,None
0403+260,0400+258,A,A,04h03m05.586048s,"26d00'01.502740""",Aug01,None,3.7cm,X,P,P,P,0.74,None,None
0403+260,0400+258,A,A,04h03m05.586048s,"26d00'01.502740""",Aug01,None,2cm,U,S,S,S,0.90,None,None
0403+260,0400+258,A,A,04h03m05.586048s,"26d00'01.502740""",Aug01,None,0.7cm,Q,W,W,W,0.4,None,None
0403-360,0402-362,B,B,04h03m53.749908s,"-36d05'01.913200""",Aug01,None,20cm,L,S,X,X,0.95,30,None
0403-360,0402-362,B,B,04h03m53.749908s,"-36d05'01.913200""",Aug01,None,6cm,C,P,P,P,1.80,None,None
0403-360,0402-362,B,B,04h03m53.749908s,"-36d05'01.913200""",Aug01,None,3.7cm,X,P,P,P,3.90,None,None
0403-360,0402-362,B,B,04h03m53.749908s,"-36d05'01.913200""",Aug01,None,2cm,U,P,P,P,4.20,None,None
0403-360,0402-362,B,B,04h03m53.749908s,"-36d05'01.913200""",Aug01,None,0.7cm,Q,S,S,S,1.60,None,None
0405-131,0403-132,A,A,04h05m34.003401s,"-13d08'13.691050""",Aug01,None,20cm,L,X,S,S,4.0,25,None
0405-131,0403-132,A,A,04h05m34.003401s,"-13d08'13.691050""",Aug01,None,6cm,C,X,X,P,2.5,25,None
0405-131,0403-132,A,A,04h05m34.003401s,"-13d08'13.691050""",Aug01,None,3.7cm,X,X,X,X,2.1,25,None
0405-131,0403-132,A,A,04h05m34.003401s,"-13d08'13.691050""",Aug01,None,2cm,U,X,X,X,1.9,25,None
0405-131,0403-132,A,A,04h05m34.003401s,"-13d08'13.691050""",Aug01,None,0.7cm,Q,S,S,?,1.3,None,None
0405+380,0402+379,A,A,04h05m49.262371s,"38d03'32.235500""",Aug01,None,20cm,L,X,X,S,1.45,9,None
0405+380,0402+379,A,A,04h05m49.262371s,"38d03'32.235500""",Aug01,None,3.7cm,X,X,X,X,0.64,None,None
0405+380,0402+379,A,A,04h05m49.262371s,"38d03'32.235500""",Aug01,None,2cm,U,X,S,S,0.35,None,None
0405+380,0402+379,A,A,04h05m49.262371s,"38d03'32.235500""",Aug01,None,0.7cm,Q,W,W,W,0.22,None,None
0406+066,0403+064,B,B,04h06m34.307293s,"06d37'14.990570""",Aug01,None,0.7cm,Q,W,W,W,0.35,None,None
0406-384,0405-385,A,A,04h06m59.035347s,"-38d26'28.042060""",Aug01,None,20cm,L,S,S,S,0.50,6,None
0406-384,0405-385,A,A,04h06m59.035347s,"-38d26'28.042060""",Aug01,None,6cm,C,P,P,P,0.72,None,None
0406-384,0405-385,A,A,04h06m59.035347s,"-38d26'28.042060""",Aug01,None,2cm,U,P,P,P,2.0,None,None
0406-384,0405-385,A,A,04h06m59.035347s,"-38d26'28.042060""",Aug01,None,0.7cm,Q,S,S,S,0.68,None,None
0407+077,0407+075,B,B,04h07m29.0870s,"07d42'07.500""",None,None,20cm,L,S,S,X,0.31,7,None
0407+077,0407+075,B,B,04h07m29.0870s,"07d42'07.500""",None,None,3.7cm,X,S,S,S,0.39,None,None
0407+077,0407+075,B,B,04h07m29.0870s,"07d42'07.500""",None,None,0.7cm,Q,W,W,W,0.54,None,None
0407-330,0405-331,C,C,04h07m33.9211s,"-33d03'46.001""",None,None,20cm,L,S,S,X,0.50,20,None
0407-330,0405-331,C,C,04h07m33.9211s,"-33d03'46.001""",None,None,6cm,C,P,P,P,0.61,None,None
0407-330,0405-331,C,C,04h07m33.9211s,"-33d03'46.001""",None,None,3.7cm,X,P,P,P,0.65,None,None
0407-330,0405-331,C,C,04h07m33.9211s,"-33d03'46.001""",None,None,2cm,U,S,S,S,0.60,None,None
0407-330,0405-331,C,C,04h07m33.9211s,"-33d03'46.001""",None,None,0.7cm,Q,W,W,W,0.32,None,None
0407+683,0402+682,B,B,04h07m49.1667s,"68d21'31.626""",Mar02,JVAS,0.7cm,Q,W,W,W,0.16,None,None
0408+305,0405+305,B,B,04h08m20.377559s,"30d32'30.490380""",Aug01,None,20cm,L,S,S,X,0.28,15,None
0408+305,0405+305,B,B,04h08m20.377559s,"30d32'30.490380""",Aug01,None,6cm,C,W,W,W,0.2,None,None
0408+305,0405+305,B,B,04h08m20.377559s,"30d32'30.490380""",Aug01,None,3.7cm,X,W,W,W,0.17,None,None
0409-126,0406-127,A,A,04h09m05.769732s,"-12d38'48.144100""",Aug01,None,20cm,L,S,X,X,0.60,45,None
0409-126,0406-127,A,A,04h09m05.769732s,"-12d38'48.144100""",Aug01,None,6cm,C,S,S,S,0.37,None,None
0409-126,0406-127,A,A,04h09m05.769732s,"-12d38'48.144100""",Aug01,None,3.7cm,X,S,S,S,0.48,None,None
0409-126,0406-127,A,A,04h09m05.769732s,"-12d38'48.144100""",Aug01,None,0.7cm,Q,W,W,W,0.2,None,None
0409-179,0406-180,T,T,04h09m06.7000s,"-17d57'10.039""",None,None,90cm,P,S,S,S,6,1,None
0409-179,0406-180,T,T,04h09m06.7000s,"-17d57'10.039""",None,None,20cm,L,S,P,P,2.2,50,None
0409-179,0406-180,T,T,04h09m06.7000s,"-17d57'10.039""",None,None,6cm,C,X,S,S,1.0,50,None
0409-179,0406-180,T,T,04h09m06.7000s,"-17d57'10.039""",None,None,3.7cm,X,X,X,S,0.47,50,None
0409-179,0406-180,T,T,04h09m06.7000s,"-17d57'10.039""",None,None,0.7cm,Q,W,W,W,0.12,None,None
0409+066,0406+065,B,B,04h09m25.8474s,"06d40'35.086""",Nov02,JVAS,0.7cm,Q,W,W,W,0.14,None,None
0409+122,0406+121,A,A,04h09m22.008740s,"12d17'39.847500""",Aug01,None,20cm,L,P,P,S,1.00,None,None
0409+122,0406+121,A,A,04h09m22.008740s,"12d17'39.847500""",Aug01,None,6cm,C,P,P,P,0.88,None,None
0409+122,0406+121,A,A,04h09m22.008740s,"12d17'39.847500""",Aug01,None,3.7cm,X,S,S,S,0.36,None,None
0409+122,0406+121,A,A,04h09m22.008740s,"12d17'39.847500""",Aug01,None,2cm,U,S,S,S,0.85,None,None
0409+122,0406+121,A,A,04h09m22.008740s,"12d17'39.847500""",Aug01,None,0.7cm,Q,W,W,W,0.5,None,None
0409+388,0406+386,T,T,04h09m22.4024s,"38d48'33.226""",None,None,90cm,P,S,S,X,5,2,15
0409+388,0406+386,T,T,04h09m22.4024s,"38d48'33.226""",None,None,20cm,L,X,X,S,1.73,15,None
0409+388,0406+386,T,T,04h09m22.4024s,"38d48'33.226""",None,None,6cm,C,X,X,X,0.64,15,None
0410+769,0404+768,C,C,04h10m45.6057s,"76d56'45.301""",None,None,20cm,L,P,P,P,5.76,None,None
0410+769,0404+768,C,C,04h10m45.6057s,"76d56'45.301""",None,None,6cm,C,P,P,P,2.79,200,None
0410+769,0404+768,C,C,04h10m45.6057s,"76d56'45.301""",None,None,3.7cm,X,P,P,P,2.21,200,None
0410+769,0404+768,C,C,04h10m45.6057s,"76d56'45.301""",None,None,2cm,U,P,P,P,1.46,200,None
0410+769,0404+768,C,C,04h10m45.6057s,"76d56'45.301""",None,None,1.3cm,K,S,P,P,1.11,400,None
0410+769,0404+768,C,C,04h10m45.6057s,"76d56'45.301""",None,None,0.7cm,Q,S,S,S,0.66,1100,None
0411+087,0408+085,B,B,04h11m33.8575s,"08d43'11.408""",Nov02,JVAS,0.7cm,Q,W,W,W,0.11,None,None
0412+001,0409+000,B,B,04h12m33.456407s,"00d10'48.493230""",Aug01,None,0.7cm,Q,W,W,W,0.17,None,None
0412+230,0409+229,A,A,04h12m43.666851s,"23d05'05.452990""",Aug01,3C108,20cm,L,X,X,S,1.30,6,None
0412+189,0409+188,A,A,04h12m45.944202s,"18d56'37.076610""",Aug01,None,0.7cm,Q,W,W,W,0.13,None,None
0413-345,0411-346,T,T,04h13m00.9438s,"-34d30'10.193""",None,None,90cm,P,X,S,S,5,2,8
0413-345,0411-346,T,T,04h13m00.9438s,"-34d30'10.193""",None,None,20cm,L,X,X,S,1.3,3,8
0414+343,0411+341,A,A,04h14m37.255748s,"34d18'51.207380""",Aug01,None,20cm,L,P,P,P,2.03,None,None
0414+343,0411+341,A,A,04h14m37.255748s,"34d18'51.207380""",Aug01,None,6cm,C,P,P,P,1.50,None,None
0414+343,0411+341,A,A,04h14m37.255748s,"34d18'51.207380""",Aug01,None,3.7cm,X,P,P,P,1.23,None,None
0414+343,0411+341,A,A,04h14m37.255748s,"34d18'51.207380""",Aug01,None,2cm,U,P,P,P,0.97,None,None
0414+343,0411+341,A,A,04h14m37.255748s,"34d18'51.207380""",Aug01,None,0.7cm,Q,W,W,W,0.5,None,None
0415+448,0412+447,A,A,04h15m56.526518s,"44d52'49.683450""",Aug01,None,0.7cm,Q,W,W,W,0.5,None,None
0416-209,0413-210,A,A,04h16m04.359742s,"-20d56'27.517790""",Aug01,None,90cm,P,X,S,S,7,2,8
0416-209,0413-210,A,A,04h16m04.359742s,"-20d56'27.517790""",Aug01,None,20cm,L,X,X,S,2.40,6,None
0416-209,0413-210,A,A,04h16m04.359742s,"-20d56'27.517790""",Aug01,None,6cm,C,X,X,X,1.10,6,None
0416-188,0414-189,A,A,04h16m36.544466s,"-18d51'08.340120""",Aug01,None,20cm,L,P,P,P,0.80,None,None
0416-188,0414-189,A,A,04h16m36.544466s,"-18d51'08.340120""",Aug01,None,6cm,C,P,P,P,0.65,None,None
0416-188,0414-189,A,A,04h16m36.544466s,"-18d51'08.340120""",Aug01,None,3.7cm,X,P,P,P,0.67,None,None
0416-188,0414-189,A,A,04h16m36.544466s,"-18d51'08.340120""",Aug01,None,2cm,U,P,P,P,1.10,None,None
0416-188,0414-189,A,A,04h16m36.544466s,"-18d51'08.340120""",Aug01,None,0.7cm,Q,S,S,S,0.9,None,None
0418+380,0415+379,B,B,04h18m21.2770s,"38d01'35.800""",Feb01,None,20cm,L,X,X,X,2.5,None,None
