J2000_NAME,B1950_NAME,PC_J2000,PC_B1950,RA_J2000,DEC_J2000,POS_REF,ALT_NAME,BAND,A,B,C,D,FLUX_JY,UVMIN_kL,UVMAX_kL
0001+192,2358+189,A,A,00h01m08.621563s,"19d14'33.801860""",Aug01,JVAS,0.7cm,Q,W,W,W,0.18,None,None
0003-174,0000-177,T,T,00h03m21.9969s,"-17d27'11.781""",None,None,90cm,P,X,S,S,7,7,None
0003-174,0000-177,T,T,00h03m21.9969s,"-17d27'11.781""",None,None,20cm,L,X,X,X,2.2,7,None
0004+462,0001+459,A,A,00h04m16.127651s,"46d15'17.970010""",Aug01,None,0.7cm,Q,W,W,W,0.12,None,None
0004+203,0002+200,B,B,00h04m35.7576s,"20d19'42.249""",May01,JVAS,0.7cm,Q,W,W,W,0.21,None,None
0005+544,0002+541,A,A,00h05m04.363531s,"54d28'24.926230""",Aug01,None,2cm,U,S,S,S,0.48,None,None
0005+544,0002+541,A,A,00h05m04.363531s,"54d28'24.926230""",Aug01,None,0.7cm,Q,W,W,W,0.46,None,None
0005+383,0003+380,A,A,00h05m57.175409s,"38d20'15.148570""",Aug01,CJ2,20cm,L,X,X,X,0.52,None,None
0005+383,0003+380,A,A,00h05m57.175409s,"38d20'15.148570""",Aug01,CJ2,6cm,C,P,P,P,0.8,None,None
0005+383,0003+380,A,A,00h05m57.175409s,"38d20'15.148570""",Aug01,CJ2,3.7cm,X,P,P,P,1.1,None,None
0005+383,0003+380,A,A,00h05m57.175409s,"38d20'15.148570""",Aug01,CJ2,2cm,U,S,S,S,0.67,None,None
0005+383,0003+380,A,A,00h05m57.175409s,"38d20'15.148570""",Aug01,CJ2,0.7cm,Q,S,S,S,0.8,None,None
0006-063,0003-066,A,A,00h06m13.892894s,"-06d23'35.335300""",Aug01,None,20cm,L,S,X,X,1.60,45,None
0006-063,0003-066,A,A,00h06m13.892894s,"-06d23'35.335300""",Aug01,None,6cm,C,P,P,P,1.30,None,None
0006-063,0003-066,A,A,00h06m13.892894s,"-06d23'35.335300""",Aug01,None,3.7cm,X,P,P,P,1.60,None,None
0006-063,0003-066,A,A,00h06m13.892894s,"-06d23'35.335300""",Aug01,None,2cm,U,P,P,P,1.10,None,None
0006-063,0003-066,A,A,00h06m13.892894s,"-06d23'35.335300""",Aug01,None,0.7cm,Q,S,S,S,1.5,None,None
0006-000,0003-003,T,T,00h06m22.6338s,"-00d04'24.086""",None,3C2,90cm,P,X,X,S,12,3,None
0006-000,0003-003,T,T,00h06m22.6338s,"-00d04'24.086""",None,3C2,20cm,L,X,X,X,3.8,3,None
0006+243,0004+240,B,B,00h06m48.789395s,"24d22'36.392490""",Aug01,None,0.7cm,Q,W,W,W,0.17,None,None
0008+117,0005+114,B,B,00h08m00.8394s,"11d44'00.784""",May01,JVAS,0.7cm,Q,W,W,W,0.11,None,None
0008+686,0005+683,C,C,00h08m33.471549s,"68d37'22.045040""",Aug01,None,2cm,U,W,W,W,0.29,None,None
0008+686,0005+683,C,C,00h08m33.471549s,"68d37'22.045040""",Aug01,None,0.7cm,Q,W,W,W,0.27,None,None
0009+064,0006+061,B,B,00h09m03.9327s,"06d28'21.238""",May01,JVAS,0.7cm,Q,W,W,W,0.32,None,None
0009+400,0006+397,A,A,00h09m04.173595s,"40d01'46.704740""",Aug01,None,0.7cm,Q,W,W,W,0.13,None,None
0010+207,0007+205,B,B,00h10m28.7425s,"20d47'49.713""",May01,JVAS,0.7cm,Q,W,W,W,0.11,None,None
0010+109,0007+106,A,A,00h10m31.005888s,"10d58'29.504120""",Aug01,None,20cm,L,X,X,X,0.06,None,None
0010+109,0007+106,A,A,00h10m31.005888s,"10d58'29.504120""",Aug01,None,6cm,C,W,W,W,0.27,None,None
0010+109,0007+106,A,A,00h10m31.005888s,"10d58'29.504120""",Aug01,None,3.7cm,X,S,S,S,0.44,None,None
0010+109,0007+106,A,A,00h10m31.005888s,"10d58'29.504120""",Aug01,None,2cm,U,W,W,W,0.35,None,None
0010+109,0007+106,A,A,00h10m31.005888s,"10d58'29.504120""",Aug01,None,0.7cm,Q,S,S,S,1.9,None,None
0010+174,0007+171,A,A,00h10m33.990619s,"17d24'18.761350""",Aug01,None,20cm,L,P,S,X,0.90,15,None
0010+174,0007+171,A,A,00h10m33.990619s,"17d24'18.761350""",Aug01,None,6cm,C,P,P,P,0.98,None,None
0010+174,0007+171,A,A,00h10m33.990619s,"17d24'18.761350""",Aug01,None,3.7cm,X,P,P,P,0.95,None,None
0010+174,0007+171,A,A,00h10m33.990619s,"17d24'18.761350""",Aug01,None,2cm,U,S,S,S,0.70,None,None
0010+174,0007+171,A,A,00h10m33.990619s,"17d24'18.761350""",Aug01,None,0.7cm,Q,W,W,W,0.5,None,None
0010-418,0008-421,C,C,00h10m52.519686s,"-41d53'10.790750""",Aug01,None,20cm,L,P,P,P,4.10,100,None
0010-418,0008-421,C,C,00h10m52.519686s,"-41d53'10.790750""",Aug01,None,6cm,C,X,S,P,1.25,100,None
0010-418,0008-421,C,C,00h10m52.519686s,"-41d53'10.790750""",Aug01,None,3.7cm,X,X,X,S,0.58,100,None
0010-418,0008-421,C,C,00h10m52.519686s,"-41d53'10.790750""",Aug01,None,2cm,U,X,X,X,0.25,100,None
0010-418,0008-421,C,C,00h10m52.519686s,"-41d53'10.790750""",Aug01,None,0.7cm,Q,X,X,X,0.0,None,None
0011-262,0008-264,A,A,00h11m01.246752s,"-26d12'33.377130""",Aug01,None,20cm,L,S,S,S,0.50,6,None
0011-262,0008-264,A,A,00h11m01.246752s,"-26d12'33.377130""",Aug01,None,6cm,C,P,P,P,0.80,None,None
0011-262,0008-264,A,A,00h11m01.246752s,"-26d12'33.377130""",Aug01,None,3.7cm,X,S,S,S,0.44,None,None
0011-262,0008-264,A,A,00h11m01.246752s,"-26d12'33.377130""",Aug01,None,2cm,U,S,S,S,0.70,None,None
0011-262,0008-264,A,A,00h11m01.246752s,"-26d12'33.377130""",Aug01,None,0.7cm,Q,W,W,W,0.2,None,None
0011+707,0008+704,A,A,00h11m31.902830s,"70d45'31.625550""",Aug01,None,2cm,U,S,S,S,0.5,None,None
0011+707,0008+704,A,A,00h11m31.902830s,"70d45'31.625550""",Aug01,None,0.7cm,Q,W,W,W,0.3,None,None
0011+083,0009+081,A,A,00h11m35.269651s,"08d23'55.587470""",Aug01,JVAS,0.7cm,Q,W,W,W,0.42,None,None
0012-399,0010-401,C,B,00h12m59.9080s,"-39d54'25.836""",Jan00,None,6cm,C,P,P,P,1.5,None,None
0012-399,0010-401,C,B,00h12m59.9080s,"-39d54'25.836""",Jan00,None,3.7cm,X,P,P,P,1.6,None,None
0012-399,0010-401,C,B,00h12m59.9080s,"-39d54'25.836""",Jan00,None,1.3cm,K,P,P,P,1.2,None,None
0013+466,0010+463,B,B,00h13m16.488891s,"46d36'08.670150""",Aug01,None,0.7cm,Q,W,W,W,0.12,None,None
0013+408,0010+405,A,A,00h13m31.130213s,"40d51'37.144070""",Aug01,None,20cm,L,X,X,X,1.00,6,None
0013+408,0010+405,A,A,00h13m31.130213s,"40d51'37.144070""",Aug01,None,6cm,C,X,X,X,0.80,None,None
0013+408,0010+405,A,A,00h13m31.130213s,"40d51'37.144070""",Aug01,None,3.7cm,X,S,X,X,0.67,200,None
0013+408,0010+405,A,A,00h13m31.130213s,"40d51'37.144070""",Aug01,None,2cm,U,S,S,S,0.7,None,None
0013+408,0010+405,A,A,00h13m31.130213s,"40d51'37.144070""",Aug01,None,1.3cm,K,S,S,S,0.81,None,None
0013+408,0010+405,A,A,00h13m31.130213s,"40d51'37.144070""",Aug01,None,0.7cm,Q,W,W,W,0.5,None,None
0013+191,0011+189,A,A,00h13m56.376087s,"19d10'41.914910""",Aug01,JVAS,0.7cm,Q,W,W,W,0.18,None,None
0014+612,0012+610,C,C,00h14m48.8154s,"61d17'43.8529""",Jan97,None,90cm,P,X,S,S,9,.7,6
0014+612,0012+610,C,C,00h14m48.8154s,"61d17'43.8529""",Jan97,None,20cm,L,X,X,S,3.85,6,None
0014+612,0012+610,C,C,00h14m48.8154s,"61d17'43.8529""",Jan97,None,6cm,C,X,X,X,1.85,6,None
0014+612,0012+610,C,C,00h14m48.8154s,"61d17'43.8529""",Jan97,None,3.7cm,X,X,X,X,1.20,10,None
0014+612,0012+610,C,C,00h14m48.8154s,"61d17'43.8529""",Jan97,None,2cm,U,X,X,S,0.90,None,None
0014+612,0012+610,C,C,00h14m48.8154s,"61d17'43.8529""",Jan97,None,0.7cm,Q,X,X,X,0.6,None,None
0016-002,0013-005,A,A,00h16m11.088554s,"-00d15'12.445280""",Aug01,None,20cm,L,P,P,S,0.85,7.5,None
0016-002,0013-005,A,A,00h16m11.088554s,"-00d15'12.445280""",Aug01,None,6cm,C,P,P,P,0.62,None,None
0016-002,0013-005,A,A,00h16m11.088554s,"-00d15'12.445280""",Aug01,None,3.7cm,X,P,P,P,0.56,None,None
0016-002,0013-005,A,A,00h16m11.088554s,"-00d15'12.445280""",Aug01,None,0.7cm,Q,W,W,W,0.34,None,None
0017+815,0014+813,A,A,00h17m08.474953s,"81d35'08.136330""",Aug01,CJ2,20cm,L,S,S,S,0.70,6,None
0017+815,0014+813,A,A,00h17m08.474953s,"81d35'08.136330""",Aug01,CJ2,6cm,C,P,P,P,1.05,None,None
0017+815,0014+813,A,A,00h17m08.474953s,"81d35'08.136330""",Aug01,CJ2,3.7cm,X,P,P,P,1.1,None,None
0017+815,0014+813,A,A,00h17m08.474953s,"81d35'08.136330""",Aug01,CJ2,2cm,U,S,S,S,0.6,None,None
0017+815,0014+813,A,A,00h17m08.474953s,"81d35'08.136330""",Aug01,CJ2,0.7cm,Q,W,W,W,0.2,None,None
0017+532,0015+529,A,A,00h17m51.759893s,"53d12'19.121000""",Aug01,None,2cm,U,S,S,S,0.6,None,None
0017+532,0015+529,A,A,00h17m51.759893s,"53d12'19.121000""",Aug01,None,0.7cm,Q,W,W,W,0.4,None,None
0018-127,0016-129,T,T,00h18m51.4001s,"-12d42'33.214""",None,None,90cm,P,X,S,S,9,6,None
0018-127,0016-129,T,T,00h18m51.4001s,"-12d42'33.214""",None,None,20cm,L,X,X,X,2.2,6,None
0019+203,0017+200,A,A,00h19m37.854504s,"20d21'45.644610""",Aug01,None,2cm,U,P,P,P,1.1,None,None
0019+203,0017+200,A,A,00h19m37.854504s,"20d21'45.644610""",Aug01,None,0.7cm,Q,W,W,W,0.5,None,None
0019+260,0017+257,A,A,00h19m39.780587s,"26d02'52.278760""",Aug01,None,0.7cm,Q,W,W,W,0.17,None,None
0019+734,0016+731,A,A,00h19m45.786427s,"73d27'30.017450""",Aug01,None,20cm,L,P,S,X,1.00,20,None
0019+734,0016+731,A,A,00h19m45.786427s,"73d27'30.017450""",Aug01,None,6cm,C,P,P,P,1.30,None,None
0019+734,0016+731,A,A,00h19m45.786427s,"73d27'30.017450""",Aug01,None,3.7cm,X,P,P,P,1.48,None,None
0019+734,0016+731,A,A,00h19m45.786427s,"73d27'30.017450""",Aug01,None,2cm,U,P,P,P,1.40,None,None
0019+734,0016+731,A,A,00h19m45.786427s,"73d27'30.017450""",Aug01,None,0.7cm,Q,S,S,S,0.8,None,None
0020+156,0017+154,T,T,00h20m25.3180s,"15d40'52.700""",Oct99,3C9,90cm,P,X,X,S,10,1.5,None
0020+156,0017+154,T,T,00h20m25.3180s,"15d40'52.700""",Oct99,3C9,20cm,L,X,X,X,2.1,1.5,None
0021+732,0018+729,C,C,00h21m27.375060s,"73d12'41.931880""",Aug01,CJ2,20cm,L,S,S,X,0.73,10,None
0021+732,0018+729,C,C,00h21m27.375060s,"73d12'41.931880""",Aug01,CJ2,6cm,C,S,S,S,0.4,None,None
0021+732,0018+729,C,C,00h21m27.375060s,"73d12'41.931880""",Aug01,CJ2,3.7cm,X,S,S,S,0.2,None,None
0021+732,0018+729,C,C,00h21m27.375060s,"73d12'41.931880""",Aug01,CJ2,0.7cm,Q,X,X,X,0.0,None,None
0022+454,0019+451,A,A,00h22m06.611333s,"45d25'33.860090""",Aug01,None,0.7cm,Q,W,W,W,0.13,None,None
0022+002,0019-000,B,B,00h22m25.425930s,"00d14'56.161440""",Aug01,None,20cm,L,P,P,P,2.70,None,None
0022+002,0019-000,B,B,00h22m25.425930s,"00d14'56.161440""",Aug01,None,6cm,C,S,P,P,1.10,300,None
0022+002,0019-000,B,B,00h22m25.425930s,"00d14'56.161440""",Aug01,None,3.7cm,X,X,P,P,0.64,300,None
0022+002,0019-000,B,B,00h22m25.425930s,"00d14'56.161440""",Aug01,None,2cm,U,X,X,X,0.35,300,None
0022+002,0019-000,B,B,00h22m25.425930s,"00d14'56.161440""",Aug01,None,0.7cm,Q,X,X,X,0.0,300,None
0022+061,0019+058,B,B,00h22m32.441226s,"06d08'04.268930""",Aug01,None,20cm,L,S,S,X,0.37,6,None
0022+061,0019+058,B,B,00h22m32.441226s,"06d08'04.268930""",Aug01,None,6cm,C,S,S,S,0.54,None,None
0022+061,0019+058,B,B,00h22m32.441226s,"06d08'04.268930""",Aug01,None,3.7cm,X,P,P,P,0.78,None,None
0022+061,0019+058,B,B,00h22m32.441226s,"06d08'04.268930""",Aug01,None,2cm,U,S,S,S,0.50,None,None
0022+061,0019+058,B,B,00h22m32.441226s,"06d08'04.268930""",Aug01,None,0.7cm,Q,W,W,W,0.30,None,None
0024+467,0021+464,B,B,00h24m21.5387s,"46d44'06.236""",Jun02,JVAS,0.7cm,Q,W,W,W,0.33,None,None
0024+246,0021+243,B,B,00h24m27.3320s,"24d39'26.300""",May01,JVAS,0.7cm,Q,W,W,W,0.16,None,None
0024-420,0022-423,B,B,00h24m42.989921s,"-42d02'03.950200""",Aug01,None,20cm,L,P,P,P,2.80,None,None
0024-420,0022-423,B,B,00h24m42.989921s,"-42d02'03.950200""",Aug01,None,6cm,C,P,P,P,1.70,None,None
0024-420,0022-423,B,B,00h24m42.989921s,"-42d02'03.950200""",Aug01,None,3.7cm,X,P,P,P,0.94,600,None
0024-420,0022-423,B,B,00h24m42.989921s,"-42d02'03.950200""",Aug01,None,2cm,U,X,S,S,0.40,600,None
0024-420,0022-423,B,B,00h24m42.989921s,"-42d02'03.950200""",Aug01,None,0.7cm,Q,X,X,X,0.0,None,None
0025+393,0022+390,A,A,00h25m26.157705s,"39d19'35.439500""",Aug01,None,20cm,L,S,X,X,0.84,60,None
0025+393,0022+390,A,A,00h25m26.157705s,"39d19'35.439500""",Aug01,None,6cm,C,S,S,X,0.81,60,None
0025+393,0022+390,A,A,00h25m26.157705s,"39d19'35.439500""",Aug01,None,3.7cm,X,S,S,S,0.54,None,None
0025+393,0022+390,A,A,00h25m26.157705s,"39d19'35.439500""",Aug01,None,2cm,U,S,S,S,0.60,None,None
0025+393,0022+390,A,A,00h25m26.157705s,"39d19'35.439500""",Aug01,None,0.7cm,Q,W,W,W,0.4,None,None
0025-260,0023-263,C,C,00h25m49.1683s,"-26d02'12.695""",None,None,90cm,P,S,S,S,20,None,None
0025-260,0023-263,C,C,00h25m49.1683s,"-26d02'12.695""",None,None,20cm,L,X,S,P,8.30,30,None
0025-260,0023-263,C,C,00h25m49.1683s,"-26d02'12.695""",None,None,6cm,C,X,X,S,3.50,30,None
0025-260,0023-263,C,C,00h25m49.1683s,"-26d02'12.695""",None,None,3.7cm,X,X,X,S,1.93,30,None
0025-260,0023-263,C,C,00h25m49.1683s,"-26d02'12.695""",None,None,2cm,U,X,X,X,1.50,30,None
0025-260,0023-263,C,C,00h25m49.1683s,"-26d02'12.695""",None,None,0.7cm,Q,W,W,W,0.36,None,None
0026+351,0024+348,B,B,00h26m41.724582s,"35d08'42.276320""",Aug01,None,20cm,L,X,X,X,0.85,None,None
0026+351,0024+348,B,B,00h26m41.724582s,"35d08'42.276320""",Aug01,None,6cm,C,S,X,X,0.48,200,None
0026+351,0024+348,B,B,00h26m41.724582s,"35d08'42.276320""",Aug01,None,3.7cm,X,S,X,X,0.29,200,None
0026+351,0024+348,B,B,00h26m41.724582s,"35d08'42.276320""",Aug01,None,0.7cm,Q,X,X,X,0.0,None,None
0027+094,0024+092,B,B,00h27m05.7947s,"09d29'57.752""",May01,JVAS,0.7cm,Q,W,W,W,0.11,None,None
0027+226,0024+224,A,A,00h27m15.371536s,"22d41'58.068950""",Aug01,JVAS,0.7cm,Q,W,W,W,0.12,None,None
0028+200,0025+197,A,A,00h28m29.818489s,"20d00'26.744480""",Aug01,JVAS,0.7cm,Q,W,W,W,0.16,None,None
0029+349,0026+346,B,B,00h29m14.242456s,"34d56'32.246560""",Aug01,CJ2,20cm,L,P,P,P,1.89,None,None
0029+349,0026+346,B,B,00h29m14.242456s,"34d56'32.246560""",Aug01,CJ2,6cm,C,P,P,P,1.85,None,None
0029+349,0026+346,B,B,00h29m14.242456s,"34d56'32.246560""",Aug01,CJ2,3.7cm,X,P,P,P,0.96,None,None
0029+349,0026+346,B,B,00h29m14.242456s,"34d56'32.246560""",Aug01,CJ2,2cm,U,S,S,S,0.60,None,None
0029+349,0026+346,B,B,00h29m14.242456s,"34d56'32.246560""",Aug01,CJ2,1.3cm,K,S,S,S,0.58,None,None
0029+349,0026+346,B,B,00h29m14.242456s,"34d56'32.246560""",Aug01,CJ2,0.7cm,Q,W,W,W,0.36,None,None
0029+059,0027+056,B,B,00h29m45.8964s,"05d54'40.695""",Jun02,JVAS,0.7cm,Q,S,S,S,0.51,None,None
0030+706,0027+703,B,B,00h30m14.4164s,"70d37'40.042""",Nov02,JVAS,0.7cm,Q,W,W,W,0.6,None,None
0034+279,0032+276,A,A,00h34m43.486188s,"27d54'25.721670""",Aug01,None,0.7cm,Q,W,W,W,0.14,None,None
0035-200,0032-203,T,T,00h35m08.7836s,"-20d03'59.664""",None,None,90cm,P,X,S,S,9,7,None
0035-200,0032-203,T,T,00h35m08.7836s,"-20d03'59.664""",None,None,20cm,L,X,X,S,1.9,7,None
0036+145,0033+142,B,B,00h36m35.1101s,"14d34'03.629""",May01,JVAS,0.7cm,Q,W,W,W,0.11,None,None
0037+111,0034+108,A,A,00h37m26.041410s,"11d09'50.920900""",Aug01,JVAS,0.7cm,Q,W,W,W,0.10,None,None
0038+416,0035+413,A,A,00h38m24.843610s,"41d37'06.000570""",Aug01,CJ2,20cm,L,S,S,S,0.73,10,None
0038+416,0035+413,A,A,00h38m24.843610s,"41d37'06.000570""",Aug01,CJ2,6cm,C,P,P,P,0.95,None,None
0038+416,0035+413,A,A,00h38m24.843610s,"41d37'06.000570""",Aug01,CJ2,3.7cm,X,P,P,P,1.14,None,None
0038+416,0035+413,A,A,00h38m24.843610s,"41d37'06.000570""",Aug01,CJ2,2cm,U,P,P,P,1.30,None,None
0038+416,0035+413,A,A,00h38m24.843610s,"41d37'06.000570""",Aug01,CJ2,0.7cm,Q,W,W,W,0.37,None,None
0038+505,0035+503,B,B,00h38m28.4136s,"50d35'25.823""",Jun02,JVAS,0.7cm,Q,W,W,W,0.17,None,None
0038-213,0036-216,B,B,00h38m29.954721s,"-21d20'04.022270""",Aug01,None,20cm,L,S,S,X,0.78,10,None
0038-213,0036-216,B,B,00h38m29.954721s,"-21d20'04.022270""",Aug01,None,6cm,C,S,S,S,0.34,200,None
0038-213,0036-216,B,B,00h38m29.954721s,"-21d20'04.022270""",Aug01,None,3.7cm,X,X,S,S,0.22,200,None
0039+141,0037+139,B,B,00h39m39.6197s,"14d11'57.558""",Jun02,JVAS,0.7cm,Q,W,W,W,0.13,None,None
0039+490,0037+487,B,B,00h39m46.9995s,"49d00'33.180""",Jun02,JVAS,0.7cm,Q,W,W,W,0.12,None,None
0040+014,0037+011,B,B,00h40m13.5252s,"01d25'46.303""",Jun02,JVAS,0.7cm,Q,W,W,W,0.12,None,None
0040+331,0038+328,T,T,00h40m55.0596s,"33d10'08.267""",None,3C19,90cm,P,X,S,S,10,1.5,4
0040+331,0038+328,T,T,00h40m55.0596s,"33d10'08.267""",None,3C19,20cm,L,X,X,X,3.20,4,None
0040-017,0038-020,A,A,00h40m57.611582s,"-01d46'32.025620""",Aug01,None,20cm,L,S,X,X,0.75,45,None
0040-017,0038-020,A,A,00h40m57.611582s,"-01d46'32.025620""",Aug01,None,6cm,C,P,P,S,0.60,None,None
0040-017,0038-020,A,A,00h40m57.611582s,"-01d46'32.025620""",Aug01,None,3.7cm,X,P,P,P,0.57,None,None
0040-017,0038-020,A,A,00h40m57.611582s,"-01d46'32.025620""",Aug01,None,0.7cm,Q,W,W,W,0.58,None,None
0042+233,0039+230,A,A,00h42m04.545183s,"23d20'01.061290""",Aug01,None,20cm,L,P,P,X,0.78,10,None
0042+233,0039+230,A,A,00h42m04.545183s,"23d20'01.061290""",Aug01,None,6cm,C,P,P,P,0.85,None,None
0042+233,0039+230,A,A,00h42m04.545183s,"23d20'01.061290""",Aug01,None,3.7cm,X,P,P,P,1.18,None,None
0042+233,0039+230,A,A,00h42m04.545183s,"23d20'01.061290""",Aug01,None,2cm,U,S,S,S,0.70,None,None
0042+233,0039+230,A,A,00h42m04.545183s,"23d20'01.061290""",Aug01,None,0.7cm,Q,W,W,W,0.4,None,None
0042-442,0039-445,T,T,00h42m09.4222s,"-44d14'15.581""",None,None,90cm,P,X,X,S,13,1,3
0042-442,0039-445,T,T,00h42m09.4222s,"-44d14'15.581""",None,None,20cm,L,X,X,X,3.50,3,None
0042+571,0039+568,A,A,00h42m19.451772s,"57d08'36.585690""",Aug01,None,2cm,U,S,S,S,0.7,None,None
0042+571,0039+568,A,A,00h42m19.451772s,"57d08'36.585690""",Aug01,None,0.7cm,Q,S,S,S,0.8,None,None
0044-355,0042-357,T,T,00h44m41.2294s,"-35d30'41.628""",None,None,90cm,P,X,S,S,7,1,6
0044-355,0042-357,T,T,00h44m41.2294s,"-35d30'41.628""",None,None,20cm,L,X,X,S,2.45,6,None
0044-355,0042-357,T,T,00h44m41.2294s,"-35d30'41.628""",None,None,6cm,C,X,X,X,1.20,6,None
0044-355,0042-357,T,T,00h44m41.2294s,"-35d30'41.628""",None,None,0.7cm,Q,X,X,X,0.0,None,None
0044+663,0041+660,T,T,00h44m41.2563s,"66d18'41.105""",None,None,90cm,P,X,S,S,7,1,7
0044+663,0041+660,T,T,00h44m41.2563s,"66d18'41.105""",None,None,20cm,L,X,X,S,1.7,7,None
0046+249,0043+246,B,B,00h46m07.8292s,"24d56'32.607""",Jun02,JVAS,0.7cm,Q,S,S,S,0.66,None,None
0047+245,0045+243,B,B,00h47m43.8754s,"24d35'16.073""",Jun02,JVAS,0.7cm,Q,W,W,W,0.24,None,None
0047+569,0044+566,B,B,00h47m00.4314s,"56d57'42.392""",Nov02,JVAS,0.7cm,Q,W,W,W,0.12,None,None
0048+319,0046+316,A,A,00h48m47.141497s,"31d57'25.085100""",Aug01,None,0.7cm,Q,W,W,W,0.48,None,None
0049+514,0046+511,B,B,00h49m37.9901s,"51d28'13.700""",Jun02,JVAS,0.7cm,Q,W,W,W,0.23,None,None
0049+026,0047+023,A,A,00h49m43.235929s,"02d37'03.778200""",Aug01,None,2cm,U,S,S,S,0.5,None,None
0049+026,0047+023,A,A,00h49m43.235929s,"02d37'03.778200""",Aug01,None,0.7cm,Q,W,W,W,0.5,None,None
0050-094,0048-097,A,A,00h50m41.317390s,"-09d29'05.210210""",Aug01,None,20cm,L,S,X,X,1.10,60,None
0050-094,0048-097,A,A,00h50m41.317390s,"-09d29'05.210210""",Aug01,None,6cm,C,P,P,P,1.12,None,None
0050-094,0048-097,A,A,00h50m41.317390s,"-09d29'05.210210""",Aug01,None,3.7cm,X,P,P,P,1.28,None,None
0050-094,0048-097,A,A,00h50m41.317390s,"-09d29'05.210210""",Aug01,None,2cm,U,P,P,P,1.70,None,None
0050-094,0048-097,A,A,00h50m41.317390s,"-09d29'05.210210""",Aug01,None,0.7cm,Q,S,S,S,1.4,None,None
0051-068,0048-071,A,A,00h51m08.209796s,"-06d50'02.228140""",Aug01,None,20cm,L,X,X,X,0.83,None,None
0051-068,0048-071,A,A,00h51m08.209796s,"-06d50'02.228140""",Aug01,None,6cm,C,X,X,S,0.58,25,None
0051-068,0048-071,A,A,00h51m08.209796s,"-06d50'02.228140""",Aug01,None,3.7cm,X,X,X,P,0.72,40,None
0051-068,0048-071,A,A,00h51m08.209796s,"-06d50'02.228140""",Aug01,None,0.7cm,Q,?,S,S,0.79,None,None
0054-035,0051-038,T,T,00h54m08.4465s,"-03d33'55.363""",None,3C26,90cm,P,S,S,S,9,16,None
0054-035,0051-038,T,T,00h54m08.4465s,"-03d33'55.363""",None,3C26,20cm,L,X,X,S,2.2,16,None
0054+681,0051+679,B,B,00h54m17.6237s,"68d11'11.175""",Nov02,JVAS,0.7cm,Q,W,W,W,0.18,None,None
0054+708,0051+706,B,B,00h54m17.6884s,"70d53'56.625""",Nov02,JVAS,0.7cm,Q,W,W,W,0.14,None,None
0056+164,0054+161,C,C,00h56m55.294159s,"16d25'13.338960""",Aug01,None,2cm,U,S,S,S,0.9,None,None
0056+164,0054+161,C,C,00h56m55.294159s,"16d25'13.338960""",Aug01,None,0.7cm,Q,S,S,S,1.1,None,None
0057+303,0055+300,A,A,00h57m48.883353s,"30d21'08.812130""",Aug01,NGC315,20cm,L,S,X,X,0.40,50,None
0057+303,0055+300,A,A,00h57m48.883353s,"30d21'08.812130""",Aug01,NGC315,6cm,C,P,S,X,0.59,40,None
0057+303,0055+300,A,A,00h57m48.883353s,"30d21'08.812130""",Aug01,NGC315,3.7cm,X,P,P,S,0.64,30,None
0057+303,0055+300,A,A,00h57m48.883353s,"30d21'08.812130""",Aug01,NGC315,2cm,U,S,S,S,0.70,None,None
0057+303,0055+300,A,A,00h57m48.883353s,"30d21'08.812130""",Aug01,NGC315,0.7cm,Q,W,W,W,0.6,None,None
0058+063,0055+060,B,B,00h58m33.8058s,"06d20'06.084""",Nov01,JVAS,0.7cm,Q,W,W,W,0.25,None,None
0059+001,0056-001,A,A,00h59m05.514924s,"00d06'51.621710""",Aug01,None,20cm,L,P,P,P,2.50,None,None
0059+001,0056-001,A,A,00h59m05.514924s,"00d06'51.621710""",Aug01,None,6cm,C,S,P,P,1.35,200,None
0059+001,0056-001,A,A,00h59m05.514924s,"00d06'51.621710""",Aug01,None,3.7cm,X,X,S,P,0.96,200,None
0059+001,0056-001,A,A,00h59m05.514924s,"00d06'51.621710""",Aug01,None,2cm,U,X,X,S,0.70,200,None
0059+001,0056-001,A,A,00h59m05.514924s,"00d06'51.621710""",Aug01,None,0.7cm,Q,W,W,W,0.42,None,None
0059-170,0056-172,T,T,00h59m06.6845s,"-17d00'38.522""",None,None,20cm,L,X,X,X,1.7,2,None
0059+582,0056+579,C,C,00h59m52.2209s,"58d12'23.581""",Oct01,VERA,3.7cm,X,?,?,W,0.28,None,None
0059+582,0056+579,C,C,00h59m52.2209s,"58d12'23.581""",Oct01,VERA,0.7cm,Q,?,?,W,0.23,None,None
0100+681,0057+678,B,B,01h00m51.663538s,"68d08'20.534910""",Aug01,None,2cm,U,S,S,S,0.6,None,None
0100+681,0057+678,B,B,01h00m51.663538s,"68d08'20.534910""",Aug01,None,0.7cm,Q,W,W,W,0.3,None,None
0101+166,0059+163,B,B,01h01m57.7197s,"16d39'40.956""",Nov01,JVAS,0.7cm,Q,W,W,W,0.12,None,None
0102+584,0059+581,A,A,01h02m45.762384s,"58d24'11.136620""",Aug01,None,20cm,L,P,P,P,0.94,None,None
0102+584,0059+581,A,A,01h02m45.762384s,"58d24'11.136620""",Aug01,None,6cm,C,P,P,P,1.2,None,None
0102+584,0059+581,A,A,01h02m45.762384s,"58d24'11.136620""",Aug01,None,3.7cm,X,P,P,P,2.7,None,None
0102+584,0059+581,A,A,01h02m45.762384s,"58d24'11.136620""",Aug01,None,2cm,U,P,P,P,2.3,None,None
