iau_name,ra_str,dec_str,pos_code,pos_ref,alt_name,epoch,flux_P_jy,flux_L_jy,flux_C_jy,flux_X_jy,flux_U_jy,flux_K_jy,flux_Q_jy,struct_L_A,struct_L_B,struct_L_C,struct_L_D
1146-247,11h46m08.103374s,"-24d47'32.896810""",A,Aug01,,J2000,,,,,,,,,,,
1146-289,11h46m26.188639s,"-28d59'18.504680""",A,Aug01,,J2000,,,,,,,,,,,
1146-334,11h46m28.4520s,"-33d28'42.660""",C,May02,,J2000,,,,,,,,,,,
1147-382,11h47m01.370704s,"-38d12'11.023530""",A,Aug01,,J2000,,,,,,,,,,,
1147-074,11h47m51.554036s,"-07d24'41.141090""",A,Aug01,,J2000,,,,,,,,,,,
1150-003,11h50m43.870761s,"-00d23'54.204900""",A,Aug01,,J2000,,,,,,,,,,,
1154-350,11h54m21.7949s,"-35d05'28.992""",C,,,J2000,,,,,,,,,,,
1159-224,11h59m11.267271s,"-22d28'36.902200""",A,Aug01,,J2000,,,,,,,,,,,
1159-096,11h59m12.711685s,"-09d40'52.048720""",A,Aug01,,J2000,,,,,,,,,,,
1159-218,11h59m51.906135s,"-21d48'53.707610""",A,Aug01,,J2000,,,,,,,,,,,
1205-265,12h05m33.212335s,"-26d34'04.464570""",A,Aug01,,J2000,,,,,,,,,,,
1209-241,12h09m02.445128s,"-24d06'20.759560""",A,Aug01,,J2000,,,,,,,,,,,
1209-402,12h09m35.243358s,"-40d16'13.100240""",B,Aug01,,J2000,,,,,,,,,,,
1209-322,12h09m40.0563s,"-32d14'52.837""",C,Dec99,,J2000,,,,,,,,,,,
1215-175,12h15m46.751770s,"-17d31'45.402890""",A,Aug01,,J2000,,,,,,,,,,,
1218-460,12h18m06.251883s,"-46d00'29.007010""",C,Aug01,,J2000,,,,,,,,,,,
1235-418,12h35m41.9330s,"-41d53'18.010""",T,,,J2000,,,,,,,,,,,
1239-103,12h39m43.061498s,"-10d23'28.692800""",A,Aug01,,J2000,,,,,,,,,,,
1242-047,12h42m19.6650s,"-04d46'20.710""",T,Oct99,3C275,J2000,,,,,,,,,,,
1246-075,12h46m04.232113s,"-07d30'46.574500""",A,Aug01,,J2000,,,,,,,,,,,
1246-257,12h46m46.802040s,"-25d47'49.288830""",A,Aug01,,J2000,,,,,,,,,,,
